W0714 05:21:49.299000 243814 /root/wuyl/pytorch-main/torch/distributed/run.py:874] 
W0714 05:21:49.299000 243814 /root/wuyl/pytorch-main/torch/distributed/run.py:874] *****************************************
W0714 05:21:49.299000 243814 /root/wuyl/pytorch-main/torch/distributed/run.py:874] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0714 05:21:49.299000 243814 /root/wuyl/pytorch-main/torch/distributed/run.py:874] *****************************************
[verify-fsdp] fsdp package: /root/wuyl/pytorch-main/torch/distributed/fsdp/__init__.py
[verify-fsdp] fully_shard module: /root/wuyl/pytorch-main/torch/distributed/fsdp/_fully_shard/_fully_shard.py
[verify-fsdp] param_group module: /root/wuyl/pytorch-main/torch/distributed/fsdp/_fully_shard/_fsdp_param_group.py
[verify-fsdp] mori sdma module: /root/wuyl/pytorch-main/torch/distributed/fsdp/_fully_shard/_mori_sdma_allgather.py
[verify-fsdp] fsdp package: /root/wuyl/pytorch-main/torch/distributed/fsdp/__init__.py
[verify-fsdp] fully_shard module: /root/wuyl/pytorch-main/torch/distributed/fsdp/_fully_shard/_fully_shard.py
[verify-fsdp] param_group module: /root/wuyl/pytorch-main/torch/distributed/fsdp/_fully_shard/_fsdp_param_group.py
[verify-fsdp] mori sdma module: /root/wuyl/pytorch-main/torch/distributed/fsdp/_fully_shard/_mori_sdma_allgather.py
[verify-fsdp] fsdp package: /root/wuyl/pytorch-main/torch/distributed/fsdp/__init__.py
[verify-fsdp] fully_shard module: /root/wuyl/pytorch-main/torch/distributed/fsdp/_fully_shard/_fully_shard.py
[verify-fsdp] param_group module: /root/wuyl/pytorch-main/torch/distributed/fsdp/_fully_shard/_fsdp_param_group.py
[verify-fsdp] mori sdma module: /root/wuyl/pytorch-main/torch/distributed/fsdp/_fully_shard/_mori_sdma_allgather.py
[verify-fsdp] fsdp package:[verify-fsdp] fsdp package:  /root/wuyl/pytorch-main/torch/distributed/fsdp/__init__.py/root/wuyl/pytorch-main/torch/distributed/fsdp/__init__.py

[verify-fsdp] fully_shard module: [verify-fsdp] fully_shard module:/root/wuyl/pytorch-main/torch/distributed/fsdp/_fully_shard/_fully_shard.py 
/root/wuyl/pytorch-main/torch/distributed/fsdp/_fully_shard/_fully_shard.py[verify-fsdp] param_group module:
 [verify-fsdp] param_group module:/root/wuyl/pytorch-main/torch/distributed/fsdp/_fully_shard/_fsdp_param_group.py 
/root/wuyl/pytorch-main/torch/distributed/fsdp/_fully_shard/_fsdp_param_group.py
[verify-fsdp] mori sdma module:[verify-fsdp] mori sdma module:  /root/wuyl/pytorch-main/torch/distributed/fsdp/_fully_shard/_mori_sdma_allgather.py
/root/wuyl/pytorch-main/torch/distributed/fsdp/_fully_shard/_mori_sdma_allgather.py
[verify-fsdp] fsdp package: /root/wuyl/pytorch-main/torch/distributed/fsdp/__init__.py
[verify-fsdp] fully_shard module: /root/wuyl/pytorch-main/torch/distributed/fsdp/_fully_shard/_fully_shard.py
[verify-fsdp] param_group module: /root/wuyl/pytorch-main/torch/distributed/fsdp/_fully_shard/_fsdp_param_group.py
[verify-fsdp] mori sdma module: /root/wuyl/pytorch-main/torch/distributed/fsdp/_fully_shard/_mori_sdma_allgather.py
[verify-fsdp] fsdp package: /root/wuyl/pytorch-main/torch/distributed/fsdp/__init__.py
[verify-fsdp] fully_shard module: /root/wuyl/pytorch-main/torch/distributed/fsdp/_fully_shard/_fully_shard.py
[verify-fsdp] param_group module: /root/wuyl/pytorch-main/torch/distributed/fsdp/_fully_shard/_fsdp_param_group.py
[verify-fsdp] mori sdma module: /root/wuyl/pytorch-main/torch/distributed/fsdp/_fully_shard/_mori_sdma_allgather.py
[verify-fsdp] fsdp package: /root/wuyl/pytorch-main/torch/distributed/fsdp/__init__.py
[verify-fsdp] fully_shard module: /root/wuyl/pytorch-main/torch/distributed/fsdp/_fully_shard/_fully_shard.py
[verify-fsdp] param_group module: /root/wuyl/pytorch-main/torch/distributed/fsdp/_fully_shard/_fsdp_param_group.py
[verify-fsdp] mori sdma module: /root/wuyl/pytorch-main/torch/distributed/fsdp/_fully_shard/_mori_sdma_allgather.py
Loading Qwen model config and initializing weights...
Applying FSDP2 layer-by-layer sharding (num_params=6,754,997,760)...
FSDP2 model is ready; starting optimizer setup and benchmark.
/root/wuyl/pytorch-main/torch/distributed/c10d_logger.py:83: UserWarning: barrier(): using the device under current context. You can specify `device_id` in `init_process_group` to mute this warning.
  return func(*args, **kwargs)
[rank0]:[W714 05:23:10.358206661 ProcessGroupNCCL.cpp:5293] Guessing device ID based on global rank. This can cause a hang if rank to GPU mapping is heterogeneous. You can specify device_id in init_process_group()
steps=0-4 mode=native avg_time_s=0.772004 min_time_s=0.598355 max_time_s=0.952737 tokens_per_s=42445.40 tflops=1720.31 tflops_per_gpu=107.52 loss=11.104024
steps=5-9 mode=native avg_time_s=0.627585 min_time_s=0.549449 max_time_s=0.757697 tokens_per_s=52212.85 tflops=2116.19 tflops_per_gpu=132.26 loss=11.115928
steps=10-14 mode=native avg_time_s=0.628792 min_time_s=0.548478 max_time_s=0.704605 tokens_per_s=52112.64 tflops=2112.12 tflops_per_gpu=132.01 loss=11.101297
steps=15-19 mode=native avg_time_s=0.588086 min_time_s=0.546992 max_time_s=0.645530 tokens_per_s=55719.75 tflops=2258.32 tflops_per_gpu=141.15 loss=11.058271
steps=20-24 mode=native avg_time_s=0.643318 min_time_s=0.541040 max_time_s=0.784325 tokens_per_s=50935.91 tflops=2064.43 tflops_per_gpu=129.03 loss=11.099779
steps=25-29 mode=native avg_time_s=0.579687 min_time_s=0.550520 max_time_s=0.613427 tokens_per_s=56527.05 tflops=2291.04 tflops_per_gpu=143.19 loss=11.080216
steps=30-34 mode=native avg_time_s=0.605262 min_time_s=0.538680 max_time_s=0.738282 tokens_per_s=54138.54 tflops=2194.23 tflops_per_gpu=137.14 loss=11.099027
steps=35-39 mode=native avg_time_s=0.617158 min_time_s=0.599639 max_time_s=0.627812 tokens_per_s=53095.03 tflops=2151.94 tflops_per_gpu=134.50 loss=11.103881
steps=40-44 mode=native avg_time_s=0.570001 min_time_s=0.548062 max_time_s=0.617768 tokens_per_s=57487.62 tflops=2329.97 tflops_per_gpu=145.62 loss=11.039619
steps=45-49 mode=native avg_time_s=0.572097 min_time_s=0.543566 max_time_s=0.608216 tokens_per_s=57277.04 tflops=2321.44 tflops_per_gpu=145.09 loss=11.042766
steps=50-54 mode=native avg_time_s=0.604888 min_time_s=0.549222 max_time_s=0.682551 tokens_per_s=54171.98 tflops=2195.59 tflops_per_gpu=137.22 loss=11.107749
steps=55-59 mode=native avg_time_s=0.560444 min_time_s=0.545922 max_time_s=0.597260 tokens_per_s=58467.91 tflops=2369.70 tflops_per_gpu=148.11 loss=11.050613
steps=60-64 mode=native avg_time_s=0.597198 min_time_s=0.549100 max_time_s=0.681513 tokens_per_s=54869.58 tflops=2223.86 tflops_per_gpu=138.99 loss=11.069653
steps=65-69 mode=native avg_time_s=0.548465 min_time_s=0.546876 max_time_s=0.551851 tokens_per_s=59744.90 tflops=2421.46 tflops_per_gpu=151.34 loss=11.091312
steps=70-74 mode=native avg_time_s=0.562097 min_time_s=0.547397 max_time_s=0.604202 tokens_per_s=58295.99 tflops=2362.74 tflops_per_gpu=147.67 loss=11.053846
steps=75-79 mode=native avg_time_s=0.573923 min_time_s=0.553434 max_time_s=0.619755 tokens_per_s=57094.77 tflops=2314.05 tflops_per_gpu=144.63 loss=10.792934
steps=80-84 mode=native avg_time_s=0.583688 min_time_s=0.552366 max_time_s=0.645647 tokens_per_s=56139.55 tflops=2275.34 tflops_per_gpu=142.21 loss=10.555877
steps=85-89 mode=native avg_time_s=0.567228 min_time_s=0.546978 max_time_s=0.589476 tokens_per_s=57768.65 tflops=2341.36 tflops_per_gpu=146.34 loss=10.446197
steps=90-94 mode=native avg_time_s=0.604174 min_time_s=0.543965 max_time_s=0.715956 tokens_per_s=54236.07 tflops=2198.19 tflops_per_gpu=137.39 loss=10.445706
steps=95-99 mode=native avg_time_s=0.564402 min_time_s=0.546430 max_time_s=0.601840 tokens_per_s=58057.86 tflops=2353.08 tflops_per_gpu=147.07 loss=10.458463
steps=100-104 mode=native avg_time_s=0.572308 min_time_s=0.546530 max_time_s=0.626722 tokens_per_s=57255.92 tflops=2320.58 tflops_per_gpu=145.04 loss=10.461830
steps=105-109 mode=native avg_time_s=0.556830 min_time_s=0.547347 max_time_s=0.565848 tokens_per_s=58847.35 tflops=2385.08 tflops_per_gpu=149.07 loss=10.420182
